Wavelength,a,b
729.811,18.804,-0.989
729.858,18.804,-0.988
729.905,18.933,-0.99
729.952,18.996,-0.989
729.999,18.933,-0.99
730.045,18.857,-0.988
730.092,19.071,-0.99
730.139,18.924,-0.989
730.186,18.882,-0.989
730.233,18.79,-0.989
730.28,18.986,-0.99
730.327,19.103,-0.99
730.374,19.063,-0.99
730.42,19.048,-0.99
730.467,19.025,-0.99
730.514,19.195,-0.99
730.561,19.116,-0.99
730.608,19.273,-0.991
730.654,19.136,-0.99
730.701,19.051,-0.99
730.748,19.161,-0.99
730.795,19.243,-0.99
730.841,19.234,-0.99
730.888,19.099,-0.99
730.935,19.099,-0.99
730.982,19.234,-0.989
731.028,19.32,-0.99
731.075,19.408,-0.993
731.122,19.288,-0.99
731.168,19.249,-0.99
731.215,19.15,-0.989
731.262,19.213,-0.99
731.308,19.328,-0.99
731.355,19.413,-0.99
731.402,19.218,-0.989
731.448,19.187,-0.989
731.495,19.224,-0.99
731.541,19.252,-0.989
731.588,19.117,-0.989
731.635,19.101,-0.989
731.681,19.328,-0.99
731.728,19.294,-0.989
731.774,19.195,-0.989
731.821,19.255,-0.989
731.867,19.341,-0.99
731.914,19.336,-0.989
731.96,19.368,-0.989
732.007,19.271,-0.989
732.053,19.347,-0.989
732.1,19.241,-0.99
732.146,19.42,-0.989
732.193,19.449,-0.99
732.239,19.369,-0.99
732.286,19.285,-0.989
732.332,19.403,-0.989
732.379,19.338,-0.99
732.425,19.439,-0.99
732.472,19.525,-0.99
732.518,19.536,-0.99
732.564,19.49,-0.99
732.611,19.612,-0.991
732.657,19.528,-0.99
732.703,19.68,-0.99
732.75,19.645,-0.99
732.796,19.612,-0.99
732.842,19.609,-0.991
732.889,19.658,-0.991
732.935,19.725,-0.991
732.981,19.759,-0.99
733.028,19.99,-0.993
733.074,19.826,-0.99
733.12,19.94,-0.991
733.167,20.002,-0.99
733.213,19.997,-0.991
733.259,20.439,-0.994
733.305,19.985,-0.99
733.352,20.086,-0.991
733.398,20.003,-0.99
733.444,20.027,-0.99
733.49,19.992,-0.99
733.536,19.95,-0.99
733.583,20.295,-0.992
